year,avg_temp_global,avg_temp_Berlin,avg_temp_NewYork,avg_temp_Tokyo,avg_temp_Wellington,avg_temp_Brussels
1759,8.03,8.595,8.567,#N/A,#N/A,9.545
1760,7.877,8.511,8.333,#N/A,#N/A,9.47
1761,7.956,8.483,8.272,#N/A,#N/A,9.426
1762,8.239,8.852,8.946,#N/A,#N/A,9.715
1763,8.15,8.842,8.717,#N/A,#N/A,9.653
1764,8.143,8.884,8.684,#N/A,#N/A,9.679
1765,8.132,8.912,8.919,#N/A,#N/A,9.71
1766,8.088,8.837,8.934,#N/A,#N/A,9.682
1767,8.008,8.736,8.897,#N/A,#N/A,9.657
1768,8.012,8.714,8.949,#N/A,#N/A,9.675
1769,7.982,8.656,8.958,#N/A,#N/A,9.604
1770,8.032,8.607,9.089,#N/A,#N/A,9.558
1771,7.94,8.405,9.089,#N/A,#N/A,9.469
1772,7.898,8.465,9.098,#N/A,#N/A,9.547
1773,7.97,8.555,9.383,#N/A,#N/A,9.628
1774,8.007,8.51,9.38,#N/A,#N/A,9.62
1775,8.1,8.666,9.508,#N/A,#N/A,9.712
1776,8.089,8.615,9.412,#N/A,#N/A,9.729
1777,8.093,8.63,9.437,#N/A,#N/A,9.752
1778,8.269,8.77,9.259,#N/A,#N/A,9.834
1779,8.398,8.971,8.374,#N/A,#N/A,9.987
1780,8.572,8.999,7.47,#N/A,#N/A,10.037
1781,8.597,9.252,7.431,#N/A,#N/A,10.207
1782,8.568,9.2,7.382,#N/A,#N/A,10.088
1783,8.514,9.224,7.255,#N/A,#N/A,10.136
1784,8.423,9.145,7.143,#N/A,#N/A,10.035
1785,8.241,8.877,6.968,#N/A,#N/A,9.865
1786,8.237,8.809,6.953,#N/A,#N/A,9.788
1787,8.214,8.907,6.973,#N/A,#N/A,9.826
1788,8.205,8.797,7.261,#N/A,#N/A,9.771
1789,8.14,8.649,8.178,#N/A,#N/A,9.592
1790,7.995,8.68,9.117,#N/A,#N/A,9.588
1791,8.008,8.637,9.075,#N/A,#N/A,9.503
1792,8.027,8.666,9.032,#N/A,#N/A,9.598
1793,8.082,8.608,9.139,#N/A,#N/A,9.551
1794,8.149,8.843,9.282,#N/A,#N/A,9.728
1795,8.248,8.988,9.354,#N/A,#N/A,9.823
1796,8.249,9.121,9.353,#N/A,#N/A,9.921
1797,8.297,9.201,9.341,#N/A,#N/A,9.94
1798,8.319,9.301,9.335,#N/A,#N/A,9.966
1799,8.337,9.074,9.312,#N/A,#N/A,9.851
1800,8.387,9.025,9.331,#N/A,#N/A,9.831
1801,8.423,9.031,9.394,#N/A,#N/A,9.835
1802,8.472,9.049,9.551,#N/A,#N/A,9.808
1803,8.499,8.933,9.57,#N/A,#N/A,9.702
1804,8.53,8.767,9.556,#N/A,#N/A,9.605
1805,8.551,8.6,9.678,#N/A,#N/A,9.461
1806,8.567,8.666,9.719,#N/A,#N/A,9.52
1807,8.544,8.601,9.751,#N/A,#N/A,9.48
1808,8.44,8.483,9.737,#N/A,#N/A,9.394
1809,8.297,8.677,9.705,#N/A,#N/A,9.522
1810,8.141,8.663,9.682,#N/A,#N/A,9.475
1811,7.968,8.695,9.625,#N/A,#N/A,9.545
1812,7.815,8.522,9.376,#N/A,#N/A,9.469
1813,7.739,8.586,9.262,#N/A,#N/A,9.518
1814,7.614,8.496,9.163,#N/A,#N/A,9.432
1815,7.482,8.614,8.947,#N/A,#N/A,9.555
1816,7.333,8.422,8.801,#N/A,#N/A,9.356
1817,7.203,8.372,8.662,#N/A,#N/A,9.339
1818,7.223,8.457,8.518,#N/A,#N/A,9.449
1819,7.252,8.534,8.538,#N/A,#N/A,9.535
1820,7.322,8.474,8.501,#N/A,#N/A,9.503
1821,7.445,8.396,8.411,#N/A,#N/A,9.429
1822,7.559,8.666,8.615,#N/A,#N/A,9.625
1823,7.557,8.626,8.586,#N/A,#N/A,9.611
1824,7.653,8.841,8.645,#N/A,#N/A,9.751
1825,7.768,8.935,8.839,#N/A,#N/A,9.844
1826,7.91,9.095,9.039,#N/A,#N/A,10.034
1827,8.093,9.102,9.187,#N/A,#N/A,10.038
1828,8.127,9.096,9.444,#N/A,#N/A,10.056
1829,8.184,8.805,9.454,#N/A,#N/A,9.837
1830,8.274,8.827,9.588,#N/A,#N/A,9.847
1831,8.229,8.805,9.642,#N/A,#N/A,9.891
1832,8.155,8.634,9.573,#N/A,#N/A,9.726
1833,8.184,8.697,9.624,#N/A,#N/A,9.762
1834,8.144,8.776,9.627,#N/A,#N/A,9.877
1835,8.044,8.725,9.454,#N/A,#N/A,9.806
1836,7.978,8.678,9.213,#N/A,#N/A,9.753
1837,7.835,8.591,9.099,#N/A,#N/A,9.714
1838,7.769,8.395,8.902,#N/A,#N/A,9.523
1839,7.738,8.606,8.902,#N/A,#N/A,9.688
1840,7.666,8.572,8.797,#N/A,#N/A,9.682
1841,7.671,8.585,8.79,#N/A,#N/A,9.622
1842,7.728,8.602,8.816,#N/A,#N/A,9.653
1843,7.744,8.631,8.75,#N/A,#N/A,9.667
1844,7.694,8.376,8.73,#N/A,#N/A,9.451
1845,7.74,8.287,8.831,#N/A,#N/A,9.342
1846,7.825,8.383,9.046,#N/A,#N/A,9.448
1847,7.896,8.395,9.164,#N/A,#N/A,9.463
1848,7.943,8.572,9.245,#N/A,#N/A,9.606
1849,7.978,8.512,9.211,#N/A,#N/A,9.602
1850,7.988,8.558,9.194,#N/A,#N/A,9.619
1851,8.037,8.502,9.22,#N/A,#N/A,9.569
1852,8.045,8.605,9.177,#N/A,#N/A,9.661
1853,8.032,8.442,9.296,#N/A,#N/A,9.55
1854,8.088,8.526,9.34,12.014,#N/A,9.617
1855,8.114,8.441,9.302,12.075,#N/A,9.57
1856,8.059,8.307,9.156,12.041,#N/A,9.453
1857,8.026,8.422,9.078,12.014,#N/A,9.563
1858,8.038,8.344,9.037,12.023,#N/A,9.499
1859,8.065,8.501,9.071,12.024,#N/A,9.582
1860,8.071,8.481,9.079,12.025,#N/A,9.516
1861,8.038,8.518,9.1,12.028,#N/A,9.546
1862,7.984,8.455,9.102,12.028,11.982,9.531
1863,7.991,8.681,9.043,12.087,12.044,9.693
1864,7.968,8.511,9.016,12.058,12.103,9.586
1865,7.975,8.692,9.069,12.041,12.152,9.787
1866,8.004,8.786,9.144,11.993,12.279,9.835
1867,8.072,8.688,9.151,12.045,12.413,9.741
1868,8.087,8.915,9.033,12.047,12.462,9.904
1869,8.105,8.861,9.001,12.035,12.483,9.825
1870,8.129,8.818,9.087,12.475,12.493,9.868
1871,8.156,8.639,9.034,12.508,12.406,9.775
1872,8.219,8.745,8.995,12.535,12.443,9.816
1873,8.243,8.691,8.93,12.443,12.51,9.768
1874,8.288,8.9,8.907,12.481,12.468,9.877
1875,8.256,8.816,8.717,12.459,12.455,9.813
1876,8.235,8.736,8.757,12.54,12.452,9.791
1877,8.245,8.79,8.913,12.567,12.403,9.833
1878,8.303,8.704,9.156,12.566,12.431,9.72
1879,8.277,8.544,9.208,12.645,12.418,9.56
1880,8.269,8.695,9.203,12.276,12.471,9.663
1881,8.284,8.762,9.286,12.279,12.528,9.71
1882,8.278,8.693,9.347,12.308,12.482,9.616
1883,8.241,8.62,9.362,12.339,12.444,9.592
1884,8.175,8.632,9.392,12.224,12.368,9.649
1885,8.181,8.675,9.455,12.16,12.314,9.613
1886,8.168,8.666,9.41,12.165,12.219,9.573
1887,8.105,8.564,9.305,12.117,12.21,9.439
1888,8.031,8.387,9.098,12.094,12.152,9.319
1889,8.046,8.475,9.147,11.978,12.154,9.41
1890,8.031,8.402,9.11,12.085,12.108,9.296
1891,8.006,8.475,9.133,12.112,12.059,9.285
1892,8,8.375,9.126,12.093,12.087,9.214
1893,8.008,8.371,9.135,12.08,12.169,9.273
1894,8.047,8.347,9.194,12.254,12.297,9.234
1895,8.07,8.328,9.279,12.323,12.323,9.23
1896,8.096,8.33,9.34,12.312,12.357,9.208
1897,8.134,8.406,9.393,12.259,12.368,9.334
1898,8.143,8.587,9.586,12.307,12.409,9.503
1899,8.151,8.649,9.551,12.373,12.376,9.605
1900,8.204,8.73,9.629,12.234,12.35,9.737
1901,8.256,8.74,9.558,12.223,12.347,9.774
1902,8.279,8.675,9.586,12.235,12.241,9.786
1903,8.295,8.753,9.65,12.298,12.15,9.754
1904,8.288,8.772,9.442,12.235,12.07,9.747
1905,8.296,8.834,9.43,12.216,12.044,9.78
1906,8.313,8.908,9.469,12.149,11.983,9.841
1907,8.279,8.891,9.355,12.174,11.993,9.802
1908,8.28,8.784,9.318,12.097,11.989,9.704
1909,8.258,8.704,9.318,12.069,12.059,9.603
1910,8.23,8.721,9.233,12.058,12.116,9.581
1911,8.194,8.852,9.295,12.108,12.16,9.698
1912,8.181,8.938,9.276,12.118,12.2,9.77
1913,8.189,8.951,9.42,12.056,12.226,9.81
1914,8.239,8.986,9.535,12.137,12.273,9.841
1915,8.275,8.952,9.61,12.208,12.341,9.853
1916,8.26,8.951,9.53,12.352,12.504,9.85
1917,8.267,8.938,9.505,12.359,12.554,9.787
1918,8.261,9.045,9.469,12.406,12.58,9.864
1919,8.281,9.029,9.523,12.461,12.529,9.859
1920,8.295,9.033,9.487,12.53,12.471,9.885
1921,8.334,9.022,9.587,12.461,12.47,9.914
1922,8.358,8.949,9.667,12.515,12.537,9.831
1923,8.37,8.866,9.542,12.607,12.551,9.776
1924,8.362,8.746,9.525,12.532,12.629,9.711
1925,8.356,8.822,9.512,12.477,12.584,9.719
1926,8.406,8.849,9.456,12.341,12.482,9.755
1927,8.456,8.882,9.602,12.356,12.439,9.845
1928,8.506,8.832,9.633,12.379,12.528,9.863
1929,8.492,8.831,9.625,12.364,12.558,9.902
1930,8.519,8.842,9.728,12.395,12.521,9.925
1931,8.534,8.699,9.74,12.399,12.472,9.777
1932,8.564,8.846,9.78,12.38,12.43,9.869
1933,8.556,8.82,9.847,12.385,12.463,9.87
1934,8.568,9.059,9.91,12.335,12.434,9.997
1935,8.567,9.061,9.886,12.341,12.533,10.05
1936,8.549,9.034,10.005,12.376,12.56,10.022
1937,8.567,9.103,10.051,12.443,12.539,10.078
1938,8.59,9.188,10.111,12.461,12.569,10.086
1939,8.642,9.321,10.121,12.489,12.573,10.169
1940,8.655,9.077,9.952,12.455,12.627,10.026
1941,8.66,9.004,9.868,12.5,12.664,10.024
1942,8.662,8.861,9.82,12.513,12.72,9.956
1943,8.704,8.996,9.76,12.492,12.699,10.042
1944,8.726,8.858,9.813,12.523,12.678,9.958
1945,8.732,8.888,9.859,12.46,12.6,10.009
1946,8.745,8.87,9.949,12.537,12.609,9.995
1947,8.755,8.808,9.924,12.45,12.65,10.012
1948,8.744,8.827,9.865,12.508,12.608,10.039
1949,8.727,8.899,9.997,12.498,12.629,10.104
1950,8.688,9.132,10.116,12.553,12.673,10.222
1951,8.674,9.342,10.124,12.564,12.669,10.304
1952,8.665,9.423,10.18,12.549,12.665,10.36
1953,8.676,9.469,10.339,12.552,12.678,10.34
1954,8.647,9.379,10.369,12.612,12.721,10.317
1955,8.652,9.251,10.414,12.792,12.809,10.204
1956,8.612,9.096,10.326,12.767,12.894,10.111
1957,8.605,9.163,10.385,12.834,12.938,10.114
1958,8.607,9.072,10.318,12.825,12.932,10.062
1959,8.621,9.056,10.256,12.913,12.931,10.08
1960,8.642,9.041,10.26,12.918,12.933,10.1
1961,8.659,9.05,10.236,13.012,12.977,10.156
1962,8.67,9.002,10.116,13.048,13.059,10.06
1963,8.669,8.801,9.931,13.068,13.06,9.877
1964,8.654,8.844,9.896,13.085,13.035,9.9
1965,8.644,8.841,9.82,12.97,12.961,9.881
1966,8.676,9.018,9.82,12.99,12.868,10.008
1967,8.673,9.08,9.7,13.009,12.829,9.996
1968,8.648,9.103,9.759,12.975,12.815,9.964
1969,8.635,8.958,9.658,12.889,12.815,9.857
1970,8.647,8.879,9.659,12.798,12.882,9.813
1971,8.627,8.852,9.657,12.684,12.955,9.753
1972,8.602,8.927,9.674,12.7,12.871,9.833
1973,8.611,9.039,9.838,12.725,12.924,9.99
1974,8.617,9.144,9.85,12.655,12.971,10.042
1975,8.638,9.319,9.943,12.7,13.054,10.136
1976,8.613,9.3,9.921,12.638,13.03,10.188
1977,8.628,9.246,9.987,12.647,12.973,10.177
1978,8.645,9.204,9.929,12.677,13.002,10.164
1979,8.658,9.214,9.955,12.796,13.047,10.106
1980,8.686,9.197,9.964,12.796,12.977,10.083
1981,8.743,9.161,9.958,12.75,12.964,10.065
1982,8.757,9.281,9.987,12.724,12.952,10.156
1983,8.765,9.378,9.942,12.692,12.895,10.205
1984,8.787,9.283,9.96,12.667,12.896,10.171
1985,8.779,9.121,9.93,12.685,12.89,10.049
1986,8.827,9.084,9.992,12.688,12.975,9.934
1987,8.841,8.939,10.028,12.735,13.081,9.852
1988,8.892,9.055,10.104,12.674,13.097,9.968
1989,8.911,9.274,10.068,12.626,13.137,10.157
1990,8.936,9.519,10.214,12.805,13.219,10.318
1991,8.937,9.537,10.355,12.931,13.161,10.32
1992,8.957,9.567,10.334,12.934,13.114,10.335
1993,8.941,9.48,10.287,12.919,13.084,10.298
1994,8.976,9.629,10.261,13.099,13.044,10.419
1995,9.045,9.758,10.259,13.107,13.033,10.615
1996,9.066,9.668,10.225,13.146,13.024,10.585
1997,9.087,9.832,10.193,13.148,12.974,10.725
1998,9.119,9.835,10.382,13.278,13.036,10.722
1999,9.156,9.821,10.532,13.321,13.067,10.727
2000,9.153,9.846,10.397,13.257,13.043,10.73
2001,9.176,9.879,10.354,13.238,13.119,10.818
2002,9.249,9.867,10.522,13.286,13.233,10.881
2003,9.315,9.94,10.502,13.326,13.328,10.972
2004,9.343,9.879,10.541,13.353,13.315,10.934
2005,9.378,9.896,10.585,13.354,13.363,10.937
2006,9.427,10.163,10.756,13.421,13.36,11.155
2007,9.48,10.278,10.819,13.446,13.427,11.219
2008,9.471,10.339,10.701,13.403,13.385,11.23
2009,9.493,10.287,10.599,13.38,13.282,11.195
2010,9.543,10.052,10.738,13.412,13.296,11.032
2011,9.554,10.139,10.772,13.431,13.284,11.107
2012,9.548,10.109,10.844,13.4,13.245,11.031
2013,9.556,10.114,11.076,13.502,13.272,10.947
2014,9.581,#N/A,#N/A,#N/A,#N/A,#N/A
2015,9.594,#N/A,#N/A,#N/A,#N/A,#N/A